 Variables ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 Sulphur Dioxide (Annual Mean) (Microgram Per Cubic Metre) ,12,11,9,11,10,13,14,12,12,13
 Sulphur Dioxide (Maximum 24-hour Mean) (Microgram Per Cubic Metre) ,84,80,93,104,80,98,75,83,75,61
 Nitrogen Dioxide (Annual Mean) (Microgram Per Cubic Metre) ,22,22,22,23,25,25,25,24,22,26
 Nitrogen Dioxide (Maximum 1-hour Mean) (Microgram Per Cubic Metre) ,177,126,147,153,189,154,132,121,99,123
 Particulate Matter (PM10) (Annual Mean) (Microgram Per Cubic Metre) ,27,25,29,26,27,29,31,30,37,26
 Particulate Matter (PM10) (99th Percentile 24-hour Mean) (Microgram Per Cubic Metre) ,53,49,59,76,55,57,215,75,186,61
 Particulate Matter (PM2.5) (Annual Mean) (Microgram Per Cubic Metre) ,19,16,19,17,17,19,20,18,24,15
 Particulate Matter (PM2.5) (99th Percentile 24-hour Mean) (Microgram Per Cubic Metre) ,37,32,44,56,41,42,176,51,145,40
 Carbon Monoxide (Maximum 8-hour Mean) (Milligram Per Cubic Metre) ,1.7,1.6,1.9,2.4,2,1.9,5.5,1.8,3.3,2.2
 Carbon Monoxide (Maximum 1-hour Mean) (Milligram Per Cubic Metre) ,2.5,2.3,3.9,2.8,2.6,2.4,7.5,2.7,3.5,2.7
 Ozone (Maximum 8-hour Mean) (Microgram Per Cubic Metre) ,206,183,105,139,123,122,139,135,152,115