,Total Fertility Rate(Per Female),        15 - 19 Years(Per Thousand Females),        20 - 24 Years(Per Thousand Females),        25 - 29 Years(Per Thousand Females),        30 - 34 Years(Per Thousand Females),        35 - 39 Years(Per Thousand Females),        40 - 44 Years(Per Thousand Females),        45 - 49 Years(Per Thousand Females),        Chinese(Per Female),        Malays(Per Female),        Indians(Per Female),Gross Reproduction Rate(Per Female),Net Reproduction Rate(Per Female),Crude Birth Rate(Per Thousand Residents),Total Live-Births(Number),Resident Live-Births(Number)
1960,5.76,69.6,250.5,323.9,259.7,176.7,70.7,na,5.62,6.42,7.37,2.78,2.54,37.5,"61,775",na
1961,5.41,63.4,241.1,304.9,238.4,168.9,64.8,na,5.2,6.42,6.96,2.63,2.41,35.2,"59,930",na
1962,5.21,52,245.5,291.7,231.5,156.2,65.1,na,4.92,6.63,6.96,2.53,2.31,33.7,"58,977",na
1963,5.16,45.7,249,287.2,228.7,156.1,64.9,na,4.83,6.75,6.9,2.51,2.3,33.2,"59,530",na
1964,4.97,38.3,240,277.6,226.7,147.7,62.8,na,4.6,6.78,7.06,2.42,2.22,31.6,"58,217",na
1965,4.66,35.9,227.1,259.5,216.2,138.1,54.9,na,4.31,6.31,6.69,2.27,2.08,29.5,"55,725",na
1966,4.46,33,218.5,261.2,202,124.8,51.7,na,4.08,6.14,6.61,2.17,1.97,28.3,"54,680",na
1967,3.91,35.8,195.8,244.7,166.7,95.9,42.9,na,3.59,5.29,5.62,1.91,1.75,25.6,"50,560",na
1968,3.53,30.9,165.8,236.6,152,85.2,35.3,na,3.29,4.52,4.77,1.72,1.58,23.5,"47,241",na
1969,3.22,27.1,150.1,227.8,134.3,75.2,29.4,na,3.05,3.78,4.58,1.56,1.43,21.8,"44,562",na
1970,3.07,25.9,139,208.8,138,74.5,26.7,na,3,3.45,3.15,1.49,1.42,22.1,"45,934",na
1971,3.02,25.6,138.3,212.6,137.6,68.5,21.9,na,2.98,3.25,3.14,1.46,1.41,22.3,"47,088",na
1972,3.04,25.3,137.4,218,139.2,66.1,20.9,na,3,3.26,3.08,1.47,1.42,23.1,"49,678",na
1973,2.79,24.2,130.5,199.5,128.4,57.6,17.4,na,2.79,2.88,2.61,1.35,1.3,22,"48,269",na
1974,2.35,20.8,118.9,172.2,102.9,42.6,12.7,na,2.33,2.46,2.3,1.13,1.09,19.4,"43,268",na
1975,2.07,16.8,102.1,154.5,94.9,36.3,10,na,2.06,2.12,1.95,1,0.97,17.7,"39,948",na
1976,2.11,16.2,107.2,160.2,95.9,33.8,8.1,na,2.15,1.93,1.84,1.02,0.98,18.7,"42,783",na
1977,1.82,13.4,90.3,138.9,85.2,28.7,6.9,na,1.81,1.87,1.7,0.88,0.85,16.5,"38,364",na
1978,1.79,11.8,86.8,140.9,86.8,26.7,5.3,na,1.78,1.83,1.79,0.87,0.84,16.8,"39,441",na
1979,1.79,11.4,85.1,139.3,88.4,27.5,5.5,na,1.77,1.84,1.88,0.85,0.82,17.1,"40,779",na
1980,1.82,12.7,84.9,144.5,87.8,28,5.8,0.5,1.73,2.2,2.03,0.88,0.86,17.6,"41,217","40,100"
1981,1.78,11.8,84.2,141.2,84.2,29.3,5.5,0.4,1.67,2.25,1.97,0.86,0.84,17.6,"42,250","41,000"
1982,1.74,11.4,80.2,136.4,84.5,31,4.9,0.3,1.62,2.27,1.93,0.83,0.82,17.5,"42,654","41,300"
1983,1.61,10.4,72.4,125.5,79.9,29.5,3.9,0.2,1.47,2.21,1.83,0.77,0.76,16.3,"40,585","39,300"
1984,1.62,10.3,68.6,124.2,83,32.1,4.9,0.2,1.46,2.27,1.84,0.77,0.76,16.5,"41,556","40,200"
1985,1.61,9.6,68,123.9,85.6,31.1,4.5,0.2,1.46,2.28,1.79,0.78,0.76,16.6,"42,484","41,100"
1986,1.43,8.6,60.4,110.1,74.4,28.4,4.7,0.2,1.25,2.22,1.73,0.69,0.68,14.8,"38,379","37,159"
1987,1.62,7.7,59.7,124.8,92.5,33.5,5.9,0.2,1.46,2.34,1.76,0.78,0.77,16.6,"43,616","42,362"
1988,1.96,7.3,65,147.5,118.9,44.9,7.4,0,1.84,2.51,1.89,0.95,0.93,19.8,"52,957","51,537"
1989,1.75,7.2,59.7,129.7,104.5,42.1,7.6,0.2,1.56,2.62,1.92,0.85,0.83,17.5,"47,669","46,361"
1990,1.83,8.3,58.7,136,110.8,44.3,7.4,0.1,1.65,2.69,1.89,0.88,0.87,18.2,"51,142","49,787"
1991,1.73,8.4,53.5,129.2,106.8,41.7,6.5,0.3,1.54,2.63,1.84,0.84,0.83,17.1,"49,114","47,805"
1992,1.72,7.9,52.1,128.4,107.2,41.7,6.7,0.2,1.53,2.61,1.9,0.83,0.82,16.8,"49,402","47,907"
1993,1.74,8.3,49.8,130,108.8,43.6,7.2,0.2,1.55,2.62,1.94,0.84,0.83,16.8,"50,225","48,739"
1994,1.71,7.4,46.9,129.2,109.2,42.6,6.7,0.1,1.54,2.54,1.81,0.83,0.82,16.2,"49,554","48,075"
1995,1.67,6.6,46.9,125.6,107.4,41.3,6.5,0.2,1.51,2.51,1.71,0.8,0.8,15.6,"48,635","46,916"
1996,1.66,6.8,44.8,122.8,108.5,42.6,7,0.2,1.5,2.52,1.74,0.8,0.79,15.2,"48,577","46,707"
1997,1.61,6.8,42,116.9,107.3,41.7,7,0.2,1.44,2.47,1.71,0.77,0.77,14.5,"47,333","45,356"
1998,1.48,7.5,39.7,105.2,96.1,39.8,6.6,0.2,1.27,2.48,1.68,0.72,0.71,13.1,"43,664","41,636"
1999,1.47,8.4,37.3,105.1,97.5,38.6,6.4,0.2,1.29,2.41,1.55,0.7,0.7,12.8,"43,336","41,327"
2000,1.6,8.8,42.2,110.1,107.9,43.3,7.6,0.2,1.43,2.54,1.59,0.77,0.76,13.7,"46,997","44,765"
2001,1.41,8.4,35.7,96.2,94.9,39.5,6.8,0.2,1.21,2.45,1.51,0.68,0.67,11.8,"41,451","39,281"
2002,1.37,8,34.6,91.6,96.2,38.2,5.8,0.2,1.19,2.3,1.51,0.67,0.66,11.4,"40,760","38,555"
2003,1.27,6.7,32.4,82.2,90,36.3,6.1,0.2,1.09,2.1,1.39,0.62,0.61,10.5,"37,485","35,474"
2004,1.26,6.6,32.2,80.6,89.9,35.6,6.3,0.2,1.09,2.07,1.34,0.61,0.6,10.3,"37,174","35,135"
2005,1.26,7.2,32.5,80.7,89.2,36.8,6.2,0.2,1.1,2.03,1.29,0.61,0.61,10.2,"37,492","35,528"
2006,1.28,6.6,30.6,79.6,93.1,38.7,6.4,0.2,1.11,2.02,1.27,0.62,0.61,10.3,"38,317","36,272"
2007,1.29,6.1,31.2,78.7,94.4,41.5,6.4,0.2,1.14,1.94,1.25,0.62,0.62,10.3,"39,490","37,074"
2008,1.28,6.1,29.1,78.9,94.6,41.5,6.6,0.2,1.14,1.91,1.19,0.62,0.62,10.2,"39,826","37,277"
2009,1.22,5,25.4,74.2,90.1,42.6,7,0.3,1.08,1.82,1.14,0.59,0.59,9.9,"39,570","36,925"
2010,1.15,4.8,23.3,68.1,86,42.2,6.1,0.3,1.02,1.65,1.13,0.56,0.55,9.3,"37,967","35,129"
2011,1.2,4.7,22.4,73.4,89.5,42.4,7.2,0.3,1.08,1.64,1.09,0.58,0.58,9.5,"39,654","36,178"
2012,1.29,4.3,22.2,76.7,99.5,46.3,8,0.3,1.18,1.69,1.15,0.62,0.62,10.1,"42,663","38,641"
2013,1.19,3.8,19.7,70.5,90.2,44.7,8,0.3,1.05,1.66,1.11,0.57,0.57,9.3,"39,720","35,681"
2014,1.25,3.3,19.5,71.1,99.3,48.3,8.3,0.3,1.13,1.73,1.13,0.61,0.6,9.8,"42,232","37,967"
2015,1.24,2.7,18.7,68.7,98.5,49.9,8.9,0.4,1.1,1.79,1.15,0.6,0.6,9.7,"42,185","37,861"
2016,1.2,2.7,17,65.8,96.2,49.7,8.8,0.3,1.07,1.8,1.04,0.58,0.58,9.4,"41,251","36,875"
2017,1.16,2.6,15.2,62,93.5,48.6,9,0.5,1.01,1.81,1,na,na,8.9,"39,605","35,447"